#NAME	CHROM	STRAND	TX_START	TX_END	EXON_START	EXON_END
OR4F5	1	+	69090	70008	69090,	70008,
AL627309.1	1	-	134900	139379	134900,137620,	135802,139379,
OR4F29	1	+	367639	368634	367639,	368634,
OR4F16	1	-	621095	622034	621095,	622034,
AL669831.1	1	-	738531	739137	738531,738787,739120,	738618,738812,739137,
AL645608.2	1	+	818042	819983	818042,819495,819960,	818058,819513,819983,
SAMD11	1	+	861117	879955	861117,861301,865534,866418,871151,874419,874654,876523,877515,877789,877938,878632,879077,879287,	861180,861393,865716,866469,871276,874509,874840,876686,877631,877868,878438,878757,879188,879955,
AL645608.1	1	-	861263	866445	861263,863254,865555,865665,865989,866425,	861406,863261,865660,865719,865996,866445,
NOC2L	1	-	879583	894670	879583,880436,880897,881552,881781,883510,883869,886506,887379,887791,888554,889161,889383,891302,891474,892273,892478,894308,894594,	880180,880526,881033,881666,881925,883612,883983,886618,887519,887980,888668,889272,889462,891393,891595,892405,892653,894461,894670,
KLHL17	1	+	895966	901095	895966,896672,897008,897205,897734,898083,898488,898716,899299,899486,899728,900342,	896180,896932,897130,897427,897851,898297,898633,898884,899388,899560,899910,901095,
PLEKHN1	1	+	901876	910488	901876,902083,905656,905900,906065,906258,906492,906703,907454,907667,908240,908565,908879,909212,909695,909821,	901994,902183,905803,905981,906138,906386,906588,906784,907530,907804,908390,908706,909020,909431,909744,910488,
PERM1	1	-	910584	916409	910584,911878,914260,	911649,912004,916409,
HES4	1	-	934343	935491	934343,934905,935071,935245,	934812,934993,935167,935491,
ISG15	1	+	948802	949920	948802,949363,	948956,949920,
AGRN	1	+	955502	991496	955502,957580,970656,976044,976552,976857,977335,978618,978917,979202,979488,979713,980540,980738,981112,981343,981539,981776,982199,982706,982952,983155,983391,984246,984615,984945,985282,985612,985806,986105,986632,986832,987107,989132,989827,990203,	955753,957842,970704,976260,976777,977082,977542,978837,979112,979403,979637,979819,980657,980903,981256,981468,981645,982115,982337,982834,983067,983275,983745,984439,984831,985175,985417,985709,985971,986217,986749,987025,987195,989357,989931,991496,
RNF223	1	-	1006345	1009687	1006345,1009395,	1007955,1009687,
